freq_Hz,Sdd11_re,Sdd11_im,Sdd21_re,Sdd21_im,Sdc11_re,Sdc11_im,Scc11_re,Scc11_im
1.995062500000000000e+10,3.716127038546782613e-01,-1.677780293104250836e-02,1.577498755170468336e-01,6.328218096000879367e-01,3.163277127364014923e-02,-6.651875196951238106e-03,3.509543428763237105e-01,-1.012799793855489183e-01
2.020000000000000000e+10,3.688104174878114594e-01,-4.817930948992241169e-02,2.342767549486278467e-01,6.019500150567911323e-01,3.100184534289762706e-02,-1.462017206099375417e-02,3.414422265262272993e-01,-9.286206530338918241e-02
2.044937500000000000e+10,3.578953972588039267e-01,-7.897497680918053042e-02,3.070128878619538537e-01,5.642508152358255424e-01,2.812956671596148969e-02,-2.191329885986573883e-02,3.357522195744419014e-01,-8.164022308073404233e-02
2.069875000000000000e+10,3.387291669123501103e-01,-1.067909501389004007e-01,3.762566921252605834e-01,5.192231588442317580e-01,2.341038506058218047e-02,-2.795761371386362021e-02,3.347919830384656903e-01,-6.913868690112177917e-02
2.094812500000000000e+10,3.120156018515737317e-01,-1.290685113317717181e-01,4.416010632590626761e-01,4.659547313921368339e-01,1.734605904952484998e-02,-3.233225663966325658e-02,3.387041219056095565e-01,-5.721798535746051156e-02
2.119750000000000000e+10,2.793951228205506787e-01,-1.434298831316454526e-01,5.017931742566772435e-01,4.035681085187399209e-01,1.052361306343382180e-02,-3.477825995444738805e-02,3.467925262872951775e-01,-4.762358084361244942e-02
2.144687500000000000e+10,2.433647334704339693e-01,-1.480099783739613206e-01,5.548109632788886803e-01,3.315425013827892342e-01,3.559068472700050410e-03,-3.524016540051218976e-02,3.576824942552148112e-01,-4.146630833569009411e-02
2.169625000000000000e+10,2.070938879926264298e-01,-1.418738660714806976e-01,5.980758433853318179e-01,2.502642989399621598e-01,-2.956971630010686060e-03,-3.385824843685968089e-02,3.698463989031184340e-01,-3.917378448615268377e-02
2.194562500000000000e+10,1.740237806939562148e-01,-1.252403321983755202e-01,6.289191543987654454e-01,1.611970595569583442e-01,-8.546672017652256342e-03,-3.095205061904925115e-02,3.819155078319216301e-01,-4.053080098482433197e-02
2.219500000000000000e+10,1.473829331293318168e-01,-9.954688515793636006e-02,6.451259380406650923e-01,6.688149272468352224e-02,-1.290482868196717731e-02,-2.695093905121773506e-02,3.928843502744516769e-01,-4.492754069715901299e-02
2.244437500000000000e+10,1.297117686111045887e-01,-6.728355343585104564e-02,6.454269261951572911e-01,-2.935379316665330529e-02,-1.591144938613712687e-02,-2.230195760321750098e-02,4.021314214457371583e-01,-5.161244328524209474e-02
2.269375000000000000e+10,1.225226455903427047e-01,-3.162651927944938601e-02,6.297617293074603273e-01,-1.239218815456835515e-01,-1.759390577195891342e-02,-1.739029661298129720e-02,4.093269981209822217e-01,-5.983930572364754008e-02
2.294312500000000000e+10,1.261707452365040116e-01,4.010476074590783868e-03,5.992082667408250574e-01,-2.135517516332140486e-01,-1.805574136478615976e-02,-1.250059380805888104e-02,4.143337418973817021e-01,-6.890866305317530638e-02
2.319250000000000000e+10,1.399159713751028100e-01,3.638697325813171346e-02,5.556310031375009117e-01,-2.956942377508355868e-01,-1.740575084983867968e-02,-7.830405562698908653e-03,4.171569541083267052e-01,-7.815133501936206983e-02
2.344187500000000000e+10,1.621014313780402005e-01,6.274841062345860865e-02,5.012270806333051221e-01,-3.686449641590159310e-01,-1.572110443741952038e-02,-3.541913011877425525e-03,4.179525097842274883e-01,-8.691089820945953337e-02
2.369125000000000000e+10,1.903847287647677244e-01,8.104095942918675133e-02,4.381603054409383691e-01,-4.314235027736505468e-01,-1.306041621787310848e-02,1.820935201049026474e-04,4.170678063730029472e-01,-9.456548406254877692e-02
2.394062500000000000e+10,2.218751271397700064e-01,8.999505327847365233e-02,3.684184547780329777e-01,-4.833273292163335899e-01,-9.510019990902529932e-03,3.116982937816386093e-03,4.150318891457824289e-01,-1.006651020455351653e-01
2.419000000000000000e+10,2.538615738311174042e-01,8.941241936285622416e-02,2.936372802150034045e-01,-5.245915312451313595e-01,-5.252961624546793190e-03,5.006553097786456408e-03,4.126844302891058414e-01,-1.047975487951333107e-01
2.443937500000000000e+10,2.834772237740290635e-01,7.976826542939050024e-02,2.152601709485797155e-01,-5.550620642791092019e-01,-5.759125307169968636e-04,5.641806254825975503e-03,4.109011141613706508e-01,-1.070768469819348007e-01
2.468875000000000000e+10,3.081987136923406978e-01,6.233714283519256605e-02,1.345660358579970350e-01,-5.747079741632511451e-01,4.146223475424226992e-03,4.914562591253220786e-03,4.104649403698407695e-01,-1.079969884474895059e-01
2.493812500000000000e+10,3.260617358186377324e-01,3.904854690622593105e-02,5.268061951969685991e-02,-5.836061424735102809e-01,8.504411222184132119e-03,2.856724928406889283e-03,4.118804529256071545e-01,-1.083521007949691528e-01
2.518750000000000000e+10,3.357476808758398379e-01,1.228318794731126512e-02,-2.937277498041983292e-02,-5.817895439661792123e-01,1.212349841862817891e-02,-3.551694149364899127e-04,4.152248255669326871e-01,-1.090827035189401856e-01
2.543687500000000000e+10,3.366729665710791464e-01,-1.532852405301516306e-02,-1.105450165665512186e-01,-5.691384958597791588e-01,1.470023611283324816e-02,-4.405443152159882123e-03,4.201450260347897037e-01,-1.110871204941897006e-01
2.568625000000000000e+10,3.290379713098377512e-01,-4.098547960123898048e-02,-1.897873024186312874e-01,-5.456149411429466189e-01,1.611753455639217125e-02,-8.977291268010331032e-03,4.259210485753846531e-01,-1.148269813819301488e-01
2.593562500000000000e+10,3.139107145036571511e-01,-6.207007460792118153e-02,-2.657371501704915984e-01,-5.109937151669845523e-01,1.633037656882877289e-02,-1.370067324897906308e-02,4.317726872149563189e-01,-1.204923495881347617e-01
2.618500000000000000e+10,2.932017226530308496e-01,-7.636521830282297363e-02,-3.366852863977078392e-01,-4.651860142094255690e-01,1.541579517816968684e-02,-1.823982579129478088e-02,4.369874512628977303e-01,-1.279253801933225854e-01
2.643437500000000000e+10,2.695521149483781631e-01,-8.236850827952371668e-02,-4.005838964102741429e-01,-4.084895401585144081e-01,1.354716555767681609e-02,-2.234215410456473136e-02,4.410428386442705184e-01,-1.367154148106282385e-01
