freq_Hz,S11_dB,S21_dB
9.239931250000000000e+08,-1.316947434156442753e+01,-2.113952534917126203e-01
9.283675000000000000e+08,-1.313800506350813535e+01,-2.134696143556884251e-01
9.327418750000000000e+08,-1.310670142854205800e+01,-2.155647327218098153e-01
9.371162500000000000e+08,-1.307555971735775557e+01,-2.176787352762225569e-01
9.414906250000000000e+08,-1.304457619072428365e+01,-2.198097146643740452e-01
9.458650000000000000e+08,-1.301374709508682770e+01,-2.219557380459566964e-01
9.502393750000000000e+08,-1.298306866826625772e+01,-2.241148556652666768e-01
9.546137500000000000e+08,-1.295253714522918109e+01,-2.262851094001786523e-01
9.589881250000000000e+08,-1.292214876389903999e+01,-2.284645412536068232e-01
9.633625000000000000e+08,-1.289189977097887763e+01,-2.306512017520062907e-01
9.677368750000000000e+08,-1.286178642775680991e+01,-2.328431582163559554e-01
9.721112500000000000e+08,-1.283180501586625155e+01,-2.350385028720454184e-01
9.764856250000000000e+08,-1.280195184297293309e+01,-2.372353607653046315e-01
9.808600000000000000e+08,-1.277222324836281331e+01,-2.394318974550595502e-01
9.852343750000000000e+08,-1.274261560840440843e+01,-2.416263264504431019e-01
9.896087500000000000e+08,-1.271312534186181686e+01,-2.438169163658212013e-01
9.939831250000000000e+08,-1.268374891503424529e+01,-2.460019977666710322e-01
9.983575000000000000e+08,-1.265448284670058321e+01,-2.481799696814442346e-01
1.002731875000000000e+09,-1.262532371284765276e+01,-2.503493057562474755e-01
1.007106250000000000e+09,-1.259626815116292420e+01,-2.525085600310628120e-01
1.011480625000000000e+09,-1.256731286527371694e+01,-2.546563723181721195e-01
1.015855000000000000e+09,-1.253845462871635874e+01,-2.567914731652993776e-01
1.020229375000000000e+09,-1.250969028862026100e+01,-2.589126883881194829e-01
1.024603750000000000e+09,-1.248101676909353586e+01,-2.610189431587325859e-01
1.028978125000000000e+09,-1.245243107429870655e+01,-2.631092656387601925e-01
1.033352500000000000e+09,-1.242393029120778891e+01,-2.651827901478168714e-01
1.037726875000000000e+09,-1.239551159202879660e+01,-2.672387598602266046e-01
1.042101250000000000e+09,-1.236717223629656637e+01,-2.692765290247744470e-01
1.046475625000000000e+09,-1.233890957262256194e+01,-2.712955647045499630e-01
1.050850000000000000e+09,-1.231072104010035062e+01,-2.732954480357233651e-01
1.055224375000000000e+09,-1.228260416936464416e+01,-2.752758750064273618e-01
