freq_Hz,S11_dB,S21_dB
5.609200000000000000e+08,-1.665978826358577436e+01,-1.006593232739453059e-01
5.652943750000000000e+08,-1.660319549967944752e+01,-1.025724126907959916e-01
5.696687500000000000e+08,-1.654712628886860770e+01,-1.044540651112418617e-01
5.740431250000000000e+08,-1.649156990232831532e+01,-1.063019702026563040e-01
5.784175000000000000e+08,-1.643651584128744503e+01,-1.081140129162861535e-01
5.827918750000000000e+08,-1.638195384542220623e+01,-1.098882809607291677e-01
5.871662500000000000e+08,-1.632787390063663935e+01,-1.116230712731570845e-01
5.915406250000000000e+08,-1.627426624618585649e+01,-1.133168954716652771e-01
5.959150000000000000e+08,-1.622112138110274770e+01,-1.149684842774496840e-01
6.002893750000000000e+08,-1.616843006989395093e+01,-1.165767908999885138e-01
6.046637500000000000e+08,-1.611618334747509351e+01,-1.181409933838676873e-01
6.090381250000000000e+08,-1.606437252332078813e+01,-1.196604959200961438e-01
6.134125000000000000e+08,-1.601298918480913969e+01,-1.211349291297454528e-01
6.177868750000000000e+08,-1.596202519974568546e+01,-1.225641493320125952e-01
6.221612500000000000e+08,-1.591147271805550645e+01,-1.239482368130955525e-01
6.265356250000000000e+08,-1.586132417263789662e+01,-1.252874931165651740e-01
6.309100000000000000e+08,-1.581157227938100363e+01,-1.265824373795225166e-01
6.352843750000000000e+08,-1.576221003633948214e+01,-1.278338017429337670e-01
6.396587500000000000e+08,-1.571323072208123328e+01,-1.290425258677281584e-01
6.440331250000000000e+08,-1.566462789321386850e+01,-1.302097505918945186e-01
6.484075000000000000e+08,-1.561639538110537373e+01,-1.313368107665960627e-01
6.527818750000000000e+08,-1.556852728781670336e+01,-1.324252273125327561e-01
6.571562500000000000e+08,-1.552101798126833998e+01,-1.334766985402944806e-01
6.615306250000000000e+08,-1.547386208966507937e+01,-1.344930907809242515e-01
6.659050000000000000e+08,-1.542705449520781613e+01,-1.354764283753545073e-01
6.702793750000000000e+08,-1.538059032712282104e+01,-1.364288830730676083e-01
6.746537500000000000e+08,-1.533446495404271914e+01,-1.373527628926276833e-01
6.790281250000000000e+08,-1.528867397577567644e+01,-1.382505004978104857e-01
6.834025000000000000e+08,-1.524321321450138456e+01,-1.391246411449328368e-01
6.877768750000000000e+08,-1.519807870543561812e+01,-1.399778302577380507e-01
6.921512500000000000e+08,-1.515326668700580903e+01,-1.408128006874333760e-01
6.965256250000000000e+08,-1.510877359058311953e+01,-1.416323597160033809e-01
7.009000000000000000e+08,-1.506459602981766999e+01,-1.424393758615704608e-01
7.052743750000000000e+08,-1.502073078962429697e+01,-1.432367655447273902e-01
7.096487500000000000e+08,-1.497717481486894187e+01,-1.440274796749060338e-01
7.140231250000000000e+08,-1.493392519880469749e+01,-1.448144902156835445e-01
7.183975000000000000e+08,-1.489097917130937709e+01,-1.456007767875180658e-01
7.227718750000000000e+08,-1.484833408697490320e+01,-1.463893133658235313e-01
7.271462500000000000e+08,-1.480598741310116040e+01,-1.471830551314337321e-01
7.315206250000000000e+08,-1.476393671764502358e+01,-1.479849255295873356e-01
7.358950000000000000e+08,-1.472217965717635835e+01,-1.487978035920937692e-01
7.402693750000000000e+08,-1.468071396489212788e+01,-1.496245115761339894e-01
7.446437500000000000e+08,-1.463953743873863189e+01,-1.504678029712243070e-01
7.490181250000000000e+08,-1.459864792969138669e+01,-1.513303509241621936e-01
7.533925000000000000e+08,-1.455804333024111585e+01,-1.522147371295835550e-01
7.577668750000000000e+08,-1.451772156313250051e+01,-1.531234412314887439e-01
7.621412500000000000e+08,-1.447768057040148193e+01,-1.540588307786514566e-01
7.665156250000000000e+08,-1.443791830275435117e+01,-1.550231517740973675e-01
7.708900000000000000e+08,-1.439843270933055130e+01,-1.560185198560714859e-01
